name,bus,p_nom,carrier,capital_cost,max_hours,efficiency_store,efficiency_dispatch,p_nom_extendable,state_of_charge_initial
BacAi PSH storage,BacAi PSH,144.5,Pumped Hydro,0.0,6.0,0.95,0.95,False,
HiepHoa bat,HiepHoa,0.0,Battery,38561.80698,6.0,0.9,0.9,True,
LaiChauH bat,LaiChauH,0.0,Battery,38561.80698,6.0,0.9,0.9,True,
DongAnh bat,DongAnh,0.0,Battery,38561.80698,6.0,0.9,0.9,True,
SonLa bat,SonLa,0.0,Battery,38561.80698,6.0,0.9,0.9,True,
SonLaH bat,SonLaH,0.0,Battery,38561.80698,6.0,0.9,0.9,True,
MongDuong1 bat,MongDuong1,0.0,Battery,38561.80698,6.0,0.9,0.9,True,
MongDuong2 bat,MongDuong2,0.0,Battery,38561.80698,6.0,0.9,0.9,True,
QuangNinh bat,QuangNinh,0.0,Battery,38561.80698,6.0,0.9,0.9,True,
NghiSon bat,NghiSon,0.0,Battery,38561.80698,6.0,0.9,0.9,True,
HoaBinh bat,HoaBinh,0.0,Battery,38561.80698,6.0,0.9,0.9,True,
ThangLongT bat,ThangLongT,0.0,Battery,38561.80698,6.0,0.9,0.9,True,
ThuongTin bat,ThuongTin,0.0,Battery,38561.80698,6.0,0.9,0.9,True,
PhoNoi bat,PhoNoi,0.0,Battery,38561.80698,6.0,0.9,0.9,True,
NhoQuan bat,NhoQuan,0.0,Battery,38561.80698,6.0,0.9,0.9,True,
HaTinh bat,HaTinh,0.0,Battery,38561.80698,6.0,0.9,0.9,True,
VungAng bat,VungAng,0.0,Battery,38561.80698,6.0,0.9,0.9,True,
DaNang bat,DaNang,0.0,Battery,38561.80698,6.0,0.9,0.9,True,
DocSoi bat,DocSoi,0.0,Battery,38561.80698,6.0,0.9,0.9,True,
ThanhMy bat,ThanhMy,0.0,Battery,38561.80698,6.0,0.9,0.9,True,
Pleiku bat,Pleiku,0.0,Battery,38561.80698,6.0,0.9,0.9,True,
Pleiku2 bat,Pleiku2,0.0,Battery,38561.80698,6.0,0.9,0.9,True,
Yali bat,Yali,0.0,Battery,38561.80698,6.0,0.9,0.9,True,
DakNong bat,DakNong,0.0,Battery,38561.80698,6.0,0.9,0.9,True,
DiLinh bat,DiLinh,0.0,Battery,38561.80698,6.0,0.9,0.9,True,
CauBong bat,CauBong,0.0,Battery,38561.80698,6.0,0.9,0.9,True,
TanDinh bat,TanDinh,0.0,Battery,38561.80698,6.0,0.9,0.9,True,
SongMay bat,SongMay,0.0,Battery,38561.80698,6.0,0.9,0.9,True,
VinhTan bat,VinhTan,0.0,Battery,38561.80698,6.0,0.9,0.9,True,
PhuLam bat,PhuLam,0.0,Battery,38561.80698,6.0,0.9,0.9,True,
MyTho bat,MyTho,0.0,Battery,38561.80698,6.0,0.9,0.9,True,
DuyenHai bat,DuyenHai,0.0,Battery,38561.80698,6.0,0.9,0.9,True,
ChonThanh bat,ChonThanh,0.0,Battery,38561.80698,6.0,0.9,0.9,True,
OMon bat,OMon,0.0,Battery,38561.80698,6.0,0.9,0.9,True,
CuChi bat,CuChi,0.0,Battery,38561.80698,6.0,0.9,0.9,True,
NhaBe bat,NhaBe,0.0,Battery,38561.80698,6.0,0.9,0.9,True,
PhuMy bat,PhuMy,0.0,Battery,38561.80698,6.0,0.9,0.9,True,
LaiChau bat,LaiChau,0.0,Battery,38561.80698,6.0,0.9,0.9,True,
TayHaNoi bat,TayHaNoi,0.0,Battery,38561.80698,6.0,0.9,0.9,True,
VietTri bat,VietTri,0.0,Battery,38561.80698,6.0,0.9,0.9,True,
VanPhong bat,VanPhong,0.0,Battery,38561.80698,6.0,0.9,0.9,True,
CongThanh bat,CongThanh,0.0,Battery,38561.80698,6.0,0.9,0.9,True,
NamDinh1 bat,NamDinh1,0.0,Battery,38561.80698,6.0,0.9,0.9,True,
LongPhu bat,LongPhu,0.0,Battery,38561.80698,6.0,0.9,0.9,True,
DucHoa bat,DucHoa,0.0,Battery,38561.80698,6.0,0.9,0.9,True,
TanUyen bat,TanUyen,0.0,Battery,38561.80698,6.0,0.9,0.9,True,
LongThanh bat,LongThanh,0.0,Battery,38561.80698,6.0,0.9,0.9,True,
ThaiBinh bat,ThaiBinh,0.0,Battery,38561.80698,6.0,0.9,0.9,True,
ThanhHoa bat,ThanhHoa,0.0,Battery,38561.80698,6.0,0.9,0.9,True,
HaiPhong bat,HaiPhong,0.0,Battery,38561.80698,6.0,0.9,0.9,True,
HaiPhongT bat,HaiPhongT,0.0,Battery,38561.80698,6.0,0.9,0.9,True,
BacNinh bat,BacNinh,0.0,Battery,38561.80698,6.0,0.9,0.9,True,
VinhYen bat,VinhYen,0.0,Battery,38561.80698,6.0,0.9,0.9,True,
VungAng3T bat,VungAng3T,0.0,Battery,38561.80698,6.0,0.9,0.9,True,
QuangTrachT bat,QuangTrachT,0.0,Battery,38561.80698,6.0,0.9,0.9,True,
QuangTri bat,QuangTri,0.0,Battery,38561.80698,6.0,0.9,0.9,True,
QuangTriT bat,QuangTriT,0.0,Battery,38561.80698,6.0,0.9,0.9,True,
KrongBuk bat,KrongBuk,0.0,Battery,38561.80698,6.0,0.9,0.9,True,
MienTrungG bat,MienTrungG,0.0,Battery,38561.80698,6.0,0.9,0.9,True,
TayNinh1 bat,TayNinh1,0.0,Battery,38561.80698,6.0,0.9,0.9,True,
BacAi PSH bat,BacAi PSH,0.0,Battery,38561.80698,6.0,0.9,0.9,True,
BinhDuong1 bat,BinhDuong1,0.0,Battery,38561.80698,6.0,0.9,0.9,True,
DongNai2 bat,DongNai2,0.0,Battery,38561.80698,6.0,0.9,0.9,True,
BacChauDuc bat,BacChauDuc,0.0,Battery,38561.80698,6.0,0.9,0.9,True,
SonMyT bat,SonMyT,0.0,Battery,38561.80698,6.0,0.9,0.9,True,
LongAn bat,LongAn,0.0,Battery,38561.80698,6.0,0.9,0.9,True,
ThotNot bat,ThotNot,0.0,Battery,38561.80698,6.0,0.9,0.9,True,
NamHaNoi bat,NamHaNoi,0.0,Battery,38561.80698,6.0,0.9,0.9,True,
SonTay bat,SonTay,0.0,Battery,38561.80698,6.0,0.9,0.9,True,
DongPhuYen PSH bat,DongPhuYen PSH,0.0,Battery,38561.80698,6.0,0.9,0.9,True,
LongBien bat,LongBien,0.0,Battery,38561.80698,6.0,0.9,0.9,True,
ThaiNguyen bat,ThaiNguyen,0.0,Battery,38561.80698,6.0,0.9,0.9,True,
BacGiang bat,BacGiang,0.0,Battery,38561.80698,6.0,0.9,0.9,True,
QuynhLapT bat,QuynhLapT,0.0,Battery,38561.80698,6.0,0.9,0.9,True,
BinhDinh bat,BinhDinh,0.0,Battery,38561.80698,6.0,0.9,0.9,True,
DonDuong PSH bat,DonDuong PSH,0.0,Battery,38561.80698,6.0,0.9,0.9,True,
TayNinh2 bat,TayNinh2,0.0,Battery,38561.80698,6.0,0.9,0.9,True,
TienGiang bat,TienGiang,0.0,Battery,38561.80698,6.0,0.9,0.9,True,
DongThap bat,DongThap,0.0,Battery,38561.80698,6.0,0.9,0.9,True,
BacLieu bat,BacLieu,0.0,Battery,38561.80698,6.0,0.9,0.9,True,
HiepHoa hydrogen,HiepHoa,0.0,Hydrogen,61588.073789999995,168.0,0.75,0.58,True,
LaiChauH hydrogen,LaiChauH,0.0,Hydrogen,61588.073789999995,168.0,0.75,0.58,True,
DongAnh hydrogen,DongAnh,0.0,Hydrogen,61588.073789999995,168.0,0.75,0.58,True,
SonLa hydrogen,SonLa,0.0,Hydrogen,61588.073789999995,168.0,0.75,0.58,True,
SonLaH hydrogen,SonLaH,0.0,Hydrogen,61588.073789999995,168.0,0.75,0.58,True,
MongDuong1 hydrogen,MongDuong1,0.0,Hydrogen,61588.073789999995,168.0,0.75,0.58,True,
MongDuong2 hydrogen,MongDuong2,0.0,Hydrogen,61588.073789999995,168.0,0.75,0.58,True,
QuangNinh hydrogen,QuangNinh,0.0,Hydrogen,61588.073789999995,168.0,0.75,0.58,True,
NghiSon hydrogen,NghiSon,0.0,Hydrogen,61588.073789999995,168.0,0.75,0.58,True,
HoaBinh hydrogen,HoaBinh,0.0,Hydrogen,61588.073789999995,168.0,0.75,0.58,True,
ThangLongT hydrogen,ThangLongT,0.0,Hydrogen,61588.073789999995,168.0,0.75,0.58,True,
ThuongTin hydrogen,ThuongTin,0.0,Hydrogen,61588.073789999995,168.0,0.75,0.58,True,
PhoNoi hydrogen,PhoNoi,0.0,Hydrogen,61588.073789999995,168.0,0.75,0.58,True,
NhoQuan hydrogen,NhoQuan,0.0,Hydrogen,61588.073789999995,168.0,0.75,0.58,True,
HaTinh hydrogen,HaTinh,0.0,Hydrogen,61588.073789999995,168.0,0.75,0.58,True,
VungAng hydrogen,VungAng,0.0,Hydrogen,61588.073789999995,168.0,0.75,0.58,True,
DaNang hydrogen,DaNang,0.0,Hydrogen,61588.073789999995,168.0,0.75,0.58,True,
DocSoi hydrogen,DocSoi,0.0,Hydrogen,61588.073789999995,168.0,0.75,0.58,True,
ThanhMy hydrogen,ThanhMy,0.0,Hydrogen,61588.073789999995,168.0,0.75,0.58,True,
Pleiku hydrogen,Pleiku,0.0,Hydrogen,61588.073789999995,168.0,0.75,0.58,True,
Pleiku2 hydrogen,Pleiku2,0.0,Hydrogen,61588.073789999995,168.0,0.75,0.58,True,
Yali hydrogen,Yali,0.0,Hydrogen,61588.073789999995,168.0,0.75,0.58,True,
DakNong hydrogen,DakNong,0.0,Hydrogen,61588.073789999995,168.0,0.75,0.58,True,
DiLinh hydrogen,DiLinh,0.0,Hydrogen,61588.073789999995,168.0,0.75,0.58,True,
CauBong hydrogen,CauBong,0.0,Hydrogen,61588.073789999995,168.0,0.75,0.58,True,
TanDinh hydrogen,TanDinh,0.0,Hydrogen,61588.073789999995,168.0,0.75,0.58,True,
SongMay hydrogen,SongMay,0.0,Hydrogen,61588.073789999995,168.0,0.75,0.58,True,
VinhTan hydrogen,VinhTan,0.0,Hydrogen,61588.073789999995,168.0,0.75,0.58,True,
PhuLam hydrogen,PhuLam,0.0,Hydrogen,61588.073789999995,168.0,0.75,0.58,True,
MyTho hydrogen,MyTho,0.0,Hydrogen,61588.073789999995,168.0,0.75,0.58,True,
DuyenHai hydrogen,DuyenHai,0.0,Hydrogen,61588.073789999995,168.0,0.75,0.58,True,
ChonThanh hydrogen,ChonThanh,0.0,Hydrogen,61588.073789999995,168.0,0.75,0.58,True,
OMon hydrogen,OMon,0.0,Hydrogen,61588.073789999995,168.0,0.75,0.58,True,
CuChi hydrogen,CuChi,0.0,Hydrogen,61588.073789999995,168.0,0.75,0.58,True,
NhaBe hydrogen,NhaBe,0.0,Hydrogen,61588.073789999995,168.0,0.75,0.58,True,
PhuMy hydrogen,PhuMy,0.0,Hydrogen,61588.073789999995,168.0,0.75,0.58,True,
LaiChau hydrogen,LaiChau,0.0,Hydrogen,61588.073789999995,168.0,0.75,0.58,True,
TayHaNoi hydrogen,TayHaNoi,0.0,Hydrogen,61588.073789999995,168.0,0.75,0.58,True,
VietTri hydrogen,VietTri,0.0,Hydrogen,61588.073789999995,168.0,0.75,0.58,True,
VanPhong hydrogen,VanPhong,0.0,Hydrogen,61588.073789999995,168.0,0.75,0.58,True,
CongThanh hydrogen,CongThanh,0.0,Hydrogen,61588.073789999995,168.0,0.75,0.58,True,
NamDinh1 hydrogen,NamDinh1,0.0,Hydrogen,61588.073789999995,168.0,0.75,0.58,True,
LongPhu hydrogen,LongPhu,0.0,Hydrogen,61588.073789999995,168.0,0.75,0.58,True,
DucHoa hydrogen,DucHoa,0.0,Hydrogen,61588.073789999995,168.0,0.75,0.58,True,
TanUyen hydrogen,TanUyen,0.0,Hydrogen,61588.073789999995,168.0,0.75,0.58,True,
LongThanh hydrogen,LongThanh,0.0,Hydrogen,61588.073789999995,168.0,0.75,0.58,True,
ThaiBinh hydrogen,ThaiBinh,0.0,Hydrogen,61588.073789999995,168.0,0.75,0.58,True,
ThanhHoa hydrogen,ThanhHoa,0.0,Hydrogen,61588.073789999995,168.0,0.75,0.58,True,
HaiPhong hydrogen,HaiPhong,0.0,Hydrogen,61588.073789999995,168.0,0.75,0.58,True,
HaiPhongT hydrogen,HaiPhongT,0.0,Hydrogen,61588.073789999995,168.0,0.75,0.58,True,
BacNinh hydrogen,BacNinh,0.0,Hydrogen,61588.073789999995,168.0,0.75,0.58,True,
VinhYen hydrogen,VinhYen,0.0,Hydrogen,61588.073789999995,168.0,0.75,0.58,True,
VungAng3T hydrogen,VungAng3T,0.0,Hydrogen,61588.073789999995,168.0,0.75,0.58,True,
QuangTrachT hydrogen,QuangTrachT,0.0,Hydrogen,61588.073789999995,168.0,0.75,0.58,True,
QuangTri hydrogen,QuangTri,0.0,Hydrogen,61588.073789999995,168.0,0.75,0.58,True,
QuangTriT hydrogen,QuangTriT,0.0,Hydrogen,61588.073789999995,168.0,0.75,0.58,True,
KrongBuk hydrogen,KrongBuk,0.0,Hydrogen,61588.073789999995,168.0,0.75,0.58,True,
MienTrungG hydrogen,MienTrungG,0.0,Hydrogen,61588.073789999995,168.0,0.75,0.58,True,
TayNinh1 hydrogen,TayNinh1,0.0,Hydrogen,61588.073789999995,168.0,0.75,0.58,True,
BacAi PSH hydrogen,BacAi PSH,0.0,Hydrogen,61588.073789999995,168.0,0.75,0.58,True,
BinhDuong1 hydrogen,BinhDuong1,0.0,Hydrogen,61588.073789999995,168.0,0.75,0.58,True,
DongNai2 hydrogen,DongNai2,0.0,Hydrogen,61588.073789999995,168.0,0.75,0.58,True,
BacChauDuc hydrogen,BacChauDuc,0.0,Hydrogen,61588.073789999995,168.0,0.75,0.58,True,
SonMyT hydrogen,SonMyT,0.0,Hydrogen,61588.073789999995,168.0,0.75,0.58,True,
LongAn hydrogen,LongAn,0.0,Hydrogen,61588.073789999995,168.0,0.75,0.58,True,
ThotNot hydrogen,ThotNot,0.0,Hydrogen,61588.073789999995,168.0,0.75,0.58,True,
NamHaNoi hydrogen,NamHaNoi,0.0,Hydrogen,61588.073789999995,168.0,0.75,0.58,True,
SonTay hydrogen,SonTay,0.0,Hydrogen,61588.073789999995,168.0,0.75,0.58,True,
DongPhuYen PSH hydrogen,DongPhuYen PSH,0.0,Hydrogen,61588.073789999995,168.0,0.75,0.58,True,
LongBien hydrogen,LongBien,0.0,Hydrogen,61588.073789999995,168.0,0.75,0.58,True,
ThaiNguyen hydrogen,ThaiNguyen,0.0,Hydrogen,61588.073789999995,168.0,0.75,0.58,True,
BacGiang hydrogen,BacGiang,0.0,Hydrogen,61588.073789999995,168.0,0.75,0.58,True,
QuynhLapT hydrogen,QuynhLapT,0.0,Hydrogen,61588.073789999995,168.0,0.75,0.58,True,
BinhDinh hydrogen,BinhDinh,0.0,Hydrogen,61588.073789999995,168.0,0.75,0.58,True,
DonDuong PSH hydrogen,DonDuong PSH,0.0,Hydrogen,61588.073789999995,168.0,0.75,0.58,True,
TayNinh2 hydrogen,TayNinh2,0.0,Hydrogen,61588.073789999995,168.0,0.75,0.58,True,
TienGiang hydrogen,TienGiang,0.0,Hydrogen,61588.073789999995,168.0,0.75,0.58,True,
DongThap hydrogen,DongThap,0.0,Hydrogen,61588.073789999995,168.0,0.75,0.58,True,
BacLieu hydrogen,BacLieu,0.0,Hydrogen,61588.073789999995,168.0,0.75,0.58,True,
